Using custom data configuration default-5b3c177f7d7df740
All Flax model weights were used when initializing T5ForConditionalGeneration.

Some weights of T5ForConditionalGeneration were not initialized from the Flax model and are newly initialized: ['decoder.embed_tokens.weight', 'encoder.embed_tokens.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
***** Running training *****
  Num examples = 1814333
  Num Epochs = 10
  Instantaneous batch size per device = 4
  Total train batch size (w. parallel, distributed & accumulation) = 4
  Gradient Accumulation steps = 1
  Total optimization steps = 4535840
Downloading and preparing dataset csv/default to /home/sagawa/.cache/huggingface/datasets/csv/default-5b3c177f7d7df740/0.0.0/652c3096f041ee27b04d2232d41f10547a8fecda3e284a79a0ec4053c916ef7a...
Dataset csv downloaded and prepared to /home/sagawa/.cache/huggingface/datasets/csv/default-5b3c177f7d7df740/0.0.0/652c3096f041ee27b04d2232d41f10547a8fecda3e284a79a0ec4053c916ef7a. Subsequent calls will reuse this data.
{'loss': 0.7224, 'learning_rate': 1.9997795336696183e-05, 'epoch': 0.0}
{'loss': 0.1799, 'learning_rate': 1.990299481463191e-05, 'epoch': 0.05}
{'loss': 0.1647, 'learning_rate': 1.990079015132809e-05, 'epoch': 0.05}
{'loss': 0.1676, 'learning_rate': 1.9898585488024272e-05, 'epoch': 0.05}
{'loss': 0.1675, 'learning_rate': 1.989638082472045e-05, 'epoch': 0.05}
{'loss': 0.1634, 'learning_rate': 1.989417616141663e-05, 'epoch': 0.05}
{'loss': 0.1604, 'learning_rate': 1.989197149811281e-05, 'epoch': 0.05}
{'loss': 0.1598, 'learning_rate': 1.988976683480899e-05, 'epoch': 0.06}
{'loss': 0.1626, 'learning_rate': 1.988756217150517e-05, 'epoch': 0.06}
{'loss': 0.1579, 'learning_rate': 1.9885357508201347e-05, 'epoch': 0.06}
{'loss': 0.1657, 'learning_rate': 1.9883152844897528e-05, 'epoch': 0.06}
{'loss': 0.1543, 'learning_rate': 1.988094818159371e-05, 'epoch': 0.06}
{'loss': 0.1603, 'learning_rate': 1.987874351828989e-05, 'epoch': 0.06}
{'loss': 0.1613, 'learning_rate': 1.9876538854986067e-05, 'epoch': 0.06}
{'loss': 0.161, 'learning_rate': 1.9874334191682248e-05, 'epoch': 0.06}
{'loss': 0.1565, 'learning_rate': 1.987212952837843e-05, 'epoch': 0.06}
{'loss': 0.1526, 'learning_rate': 1.9869924865074607e-05, 'epoch': 0.07}
{'loss': 0.1601, 'learning_rate': 1.9867720201770788e-05, 'epoch': 0.07}
{'loss': 0.1537, 'learning_rate': 1.9865515538466965e-05, 'epoch': 0.07}
{'loss': 0.1479, 'learning_rate': 1.9863310875163146e-05, 'epoch': 0.07}
{'loss': 0.1489, 'learning_rate': 1.9861106211859327e-05, 'epoch': 0.07}
{'loss': 0.1481, 'learning_rate': 1.9858901548555508e-05, 'epoch': 0.07}
{'loss': 0.1499, 'learning_rate': 1.9856696885251685e-05, 'epoch': 0.07}
{'loss': 0.1464, 'learning_rate': 1.9854492221947866e-05, 'epoch': 0.07}
{'loss': 0.1445, 'learning_rate': 1.9852287558644047e-05, 'epoch': 0.07}
{'loss': 0.1642, 'learning_rate': 1.9850082895340225e-05, 'epoch': 0.07}
{'loss': 0.1508, 'learning_rate': 1.9847878232036405e-05, 'epoch': 0.08}
{'loss': 0.1503, 'learning_rate': 1.9845673568732583e-05, 'epoch': 0.08}
{'loss': 0.151, 'learning_rate': 1.9843468905428764e-05, 'epoch': 0.08}
{'loss': 0.1545, 'learning_rate': 1.9841264242124945e-05, 'epoch': 0.08}
{'loss': 0.1418, 'learning_rate': 1.9839059578821126e-05, 'epoch': 0.08}
{'loss': 0.1441, 'learning_rate': 1.9836854915517303e-05, 'epoch': 0.08}
{'loss': 0.148, 'learning_rate': 1.9834650252213484e-05, 'epoch': 0.08}
{'loss': 0.1487, 'learning_rate': 1.9832445588909665e-05, 'epoch': 0.08}
{'loss': 0.1492, 'learning_rate': 1.9830240925605842e-05, 'epoch': 0.08}
{'loss': 0.1432, 'learning_rate': 1.9828036262302023e-05, 'epoch': 0.09}
{'loss': 0.1454, 'learning_rate': 1.98258315989982e-05, 'epoch': 0.09}
{'loss': 0.142, 'learning_rate': 1.9823626935694382e-05, 'epoch': 0.09}
{'loss': 0.1454, 'learning_rate': 1.9821422272390563e-05, 'epoch': 0.09}
{'loss': 0.1429, 'learning_rate': 1.9819217609086744e-05, 'epoch': 0.09}
{'loss': 0.1438, 'learning_rate': 1.981701294578292e-05, 'epoch': 0.09}
{'loss': 0.1406, 'learning_rate': 1.9814808282479102e-05, 'epoch': 0.09}
{'loss': 0.1413, 'learning_rate': 1.9812603619175283e-05, 'epoch': 0.09}
{'loss': 0.1426, 'learning_rate': 1.981039895587146e-05, 'epoch': 0.09}
{'loss': 0.1439, 'learning_rate': 1.980819429256764e-05, 'epoch': 0.1}
{'loss': 0.1436, 'learning_rate': 1.980598962926382e-05, 'epoch': 0.1}
{'loss': 0.1385, 'learning_rate': 1.980378496596e-05, 'epoch': 0.1}
{'loss': 0.1452, 'learning_rate': 1.980158030265618e-05, 'epoch': 0.1}
{'loss': 0.1392, 'learning_rate': 1.979937563935236e-05, 'epoch': 0.1}
{'loss': 0.1377, 'learning_rate': 1.979717097604854e-05, 'epoch': 0.1}
{'loss': 0.1389, 'learning_rate': 1.979496631274472e-05, 'epoch': 0.1}
{'loss': 0.1371, 'learning_rate': 1.97927616494409e-05, 'epoch': 0.1}
{'loss': 0.1419, 'learning_rate': 1.9790556986137078e-05, 'epoch': 0.1}
{'loss': 0.1399, 'learning_rate': 1.978835232283326e-05, 'epoch': 0.11}
{'loss': 0.1383, 'learning_rate': 1.9786147659529437e-05, 'epoch': 0.11}
{'loss': 0.1396, 'learning_rate': 1.9783942996225618e-05, 'epoch': 0.11}
{'loss': 0.1329, 'learning_rate': 1.97817383329218e-05, 'epoch': 0.11}
{'loss': 0.1396, 'learning_rate': 1.977953366961798e-05, 'epoch': 0.11}
{'loss': 0.1405, 'learning_rate': 1.9777329006314157e-05, 'epoch': 0.11}
{'loss': 0.137, 'learning_rate': 1.9775124343010338e-05, 'epoch': 0.11}
{'loss': 0.1389, 'learning_rate': 1.977291967970652e-05, 'epoch': 0.11}
{'loss': 0.1351, 'learning_rate': 1.9770715016402696e-05, 'epoch': 0.11}
{'loss': 0.1303, 'learning_rate': 1.9768510353098877e-05, 'epoch': 0.12}
{'loss': 0.1319, 'learning_rate': 1.9766305689795055e-05, 'epoch': 0.12}
{'loss': 0.1343, 'learning_rate': 1.9764101026491235e-05, 'epoch': 0.12}
{'loss': 0.1301, 'learning_rate': 1.9761896363187416e-05, 'epoch': 0.12}
{'loss': 0.1387, 'learning_rate': 1.9759691699883597e-05, 'epoch': 0.12}
{'loss': 0.1362, 'learning_rate': 1.9757487036579775e-05, 'epoch': 0.12}
{'loss': 0.1342, 'learning_rate': 1.9755282373275956e-05, 'epoch': 0.12}
{'loss': 0.1382, 'learning_rate': 1.9753077709972136e-05, 'epoch': 0.12}
{'loss': 0.1377, 'learning_rate': 1.9750873046668314e-05, 'epoch': 0.12}
{'loss': 0.1297, 'learning_rate': 1.9748668383364495e-05, 'epoch': 0.13}
{'loss': 0.1316, 'learning_rate': 1.9746463720060672e-05, 'epoch': 0.13}
{'loss': 0.1315, 'learning_rate': 1.9744259056756853e-05, 'epoch': 0.13}
{'loss': 0.1334, 'learning_rate': 1.9742054393453034e-05, 'epoch': 0.13}
{'loss': 0.1347, 'learning_rate': 1.9739849730149215e-05, 'epoch': 0.13}
{'loss': 0.13, 'learning_rate': 1.9737645066845393e-05, 'epoch': 0.13}
{'loss': 0.1368, 'learning_rate': 1.9735440403541573e-05, 'epoch': 0.13}
{'loss': 0.1286, 'learning_rate': 1.9733235740237754e-05, 'epoch': 0.13}
{'loss': 0.1361, 'learning_rate': 1.9731031076933932e-05, 'epoch': 0.13}
{'loss': 0.1274, 'learning_rate': 1.972882641363011e-05, 'epoch': 0.14}
{'loss': 0.1324, 'learning_rate': 1.972662175032629e-05, 'epoch': 0.14}
{'loss': 0.1254, 'learning_rate': 1.972441708702247e-05, 'epoch': 0.14}
{'loss': 0.1293, 'learning_rate': 1.9722212423718652e-05, 'epoch': 0.14}
{'loss': 0.1341, 'learning_rate': 1.9720007760414833e-05, 'epoch': 0.14}
{'loss': 0.1343, 'learning_rate': 1.971780309711101e-05, 'epoch': 0.14}
{'loss': 0.1288, 'learning_rate': 1.971559843380719e-05, 'epoch': 0.14}
{'loss': 0.1239, 'learning_rate': 1.9713393770503372e-05, 'epoch': 0.14}
{'loss': 0.1264, 'learning_rate': 1.971118910719955e-05, 'epoch': 0.14}
{'loss': 0.1314, 'learning_rate': 1.9708984443895727e-05, 'epoch': 0.15}
{'loss': 0.1278, 'learning_rate': 1.9706779780591908e-05, 'epoch': 0.15}
{'loss': 0.1256, 'learning_rate': 1.970457511728809e-05, 'epoch': 0.15}
{'loss': 0.1236, 'learning_rate': 1.970237045398427e-05, 'epoch': 0.15}
{'loss': 0.1342, 'learning_rate': 1.970016579068045e-05, 'epoch': 0.15}
{'loss': 0.1244, 'learning_rate': 1.969796112737663e-05, 'epoch': 0.15}
{'loss': 0.1275, 'learning_rate': 1.969575646407281e-05, 'epoch': 0.15}
{'loss': 0.1259, 'learning_rate': 1.969355180076899e-05, 'epoch': 0.15}
{'loss': 0.1259, 'learning_rate': 1.9691347137465168e-05, 'epoch': 0.15}
{'loss': 0.1258, 'learning_rate': 1.9689142474161345e-05, 'epoch': 0.16}
{'loss': 0.1255, 'learning_rate': 1.9686937810857526e-05, 'epoch': 0.16}
{'loss': 0.1222, 'learning_rate': 1.9684733147553707e-05, 'epoch': 0.16}
{'loss': 0.1258, 'learning_rate': 1.9682528484249888e-05, 'epoch': 0.16}
{'loss': 0.1229, 'learning_rate': 1.9680323820946065e-05, 'epoch': 0.16}
{'loss': 0.1304, 'learning_rate': 1.9678119157642246e-05, 'epoch': 0.16}
{'loss': 0.128, 'learning_rate': 1.9675914494338427e-05, 'epoch': 0.16}
{'loss': 0.1253, 'learning_rate': 1.9673709831034608e-05, 'epoch': 0.16}
{'loss': 0.1235, 'learning_rate': 1.9671505167730786e-05, 'epoch': 0.16}
{'loss': 0.1225, 'learning_rate': 1.9669300504426963e-05, 'epoch': 0.17}
{'loss': 0.1218, 'learning_rate': 1.9667095841123144e-05, 'epoch': 0.17}
{'loss': 0.1228, 'learning_rate': 1.9664891177819325e-05, 'epoch': 0.17}
{'loss': 0.1205, 'learning_rate': 1.9662686514515506e-05, 'epoch': 0.17}
{'loss': 0.1201, 'learning_rate': 1.9660481851211683e-05, 'epoch': 0.17}
{'loss': 0.1246, 'learning_rate': 1.9658277187907864e-05, 'epoch': 0.17}
{'loss': 0.1247, 'learning_rate': 1.9656072524604045e-05, 'epoch': 0.17}
{'loss': 0.1211, 'learning_rate': 1.9653867861300226e-05, 'epoch': 0.17}
{'loss': 0.1203, 'learning_rate': 1.9651663197996403e-05, 'epoch': 0.17}
{'loss': 0.1245, 'learning_rate': 1.964945853469258e-05, 'epoch': 0.18}
{'loss': 0.1247, 'learning_rate': 1.9647253871388762e-05, 'epoch': 0.18}
{'loss': 0.1221, 'learning_rate': 1.9645049208084943e-05, 'epoch': 0.18}
{'loss': 0.122, 'learning_rate': 1.9642844544781124e-05, 'epoch': 0.18}
{'loss': 0.1218, 'learning_rate': 1.96406398814773e-05, 'epoch': 0.18}
{'loss': 0.1209, 'learning_rate': 1.9638435218173482e-05, 'epoch': 0.18}
{'loss': 0.121, 'learning_rate': 1.9636230554869663e-05, 'epoch': 0.18}
{'loss': 0.1233, 'learning_rate': 1.9634025891565844e-05, 'epoch': 0.18}
{'loss': 0.1254, 'learning_rate': 1.963182122826202e-05, 'epoch': 0.18}
{'loss': 0.1188, 'learning_rate': 1.96296165649582e-05, 'epoch': 0.19}
{'loss': 0.1173, 'learning_rate': 1.962741190165438e-05, 'epoch': 0.19}
{'loss': 0.1204, 'learning_rate': 1.962520723835056e-05, 'epoch': 0.19}
{'loss': 0.12, 'learning_rate': 1.962300257504674e-05, 'epoch': 0.19}
{'loss': 0.1193, 'learning_rate': 1.962079791174292e-05, 'epoch': 0.19}
{'loss': 0.1164, 'learning_rate': 1.96185932484391e-05, 'epoch': 0.19}
{'loss': 0.1189, 'learning_rate': 1.961638858513528e-05, 'epoch': 0.19}
{'loss': 0.1187, 'learning_rate': 1.9614183921831462e-05, 'epoch': 0.19}
{'loss': 0.1168, 'learning_rate': 1.961197925852764e-05, 'epoch': 0.19}
{'loss': 0.1179, 'learning_rate': 1.9609774595223817e-05, 'epoch': 0.2}
{'loss': 0.1197, 'learning_rate': 1.9607569931919998e-05, 'epoch': 0.2}
{'loss': 0.1178, 'learning_rate': 1.960536526861618e-05, 'epoch': 0.2}
{'loss': 0.1175, 'learning_rate': 1.960316060531236e-05, 'epoch': 0.2}
{'loss': 0.1178, 'learning_rate': 1.9600955942008537e-05, 'epoch': 0.2}
{'loss': 0.1193, 'learning_rate': 1.9598751278704718e-05, 'epoch': 0.2}
{'loss': 0.1135, 'learning_rate': 1.95965466154009e-05, 'epoch': 0.2}
{'loss': 0.121, 'learning_rate': 1.9594341952097076e-05, 'epoch': 0.2}
{'loss': 0.1144, 'learning_rate': 1.9592137288793257e-05, 'epoch': 0.2}
{'loss': 0.1174, 'learning_rate': 1.9589932625489435e-05, 'epoch': 0.21}
{'loss': 0.1176, 'learning_rate': 1.9587727962185616e-05, 'epoch': 0.21}
{'loss': 0.1151, 'learning_rate': 1.9585523298881796e-05, 'epoch': 0.21}
{'loss': 0.1175, 'learning_rate': 1.9583318635577977e-05, 'epoch': 0.21}
{'loss': 0.1166, 'learning_rate': 1.9581113972274155e-05, 'epoch': 0.21}
{'loss': 0.12, 'learning_rate': 1.9578909308970336e-05, 'epoch': 0.21}
{'loss': 0.1129, 'learning_rate': 1.9576704645666517e-05, 'epoch': 0.21}
{'loss': 0.1153, 'learning_rate': 1.9574499982362694e-05, 'epoch': 0.21}
{'loss': 0.1192, 'learning_rate': 1.9572295319058875e-05, 'epoch': 0.21}
{'loss': 0.1211, 'learning_rate': 1.9570090655755053e-05, 'epoch': 0.21}
{'loss': 0.1133, 'learning_rate': 1.9567885992451233e-05, 'epoch': 0.22}
{'loss': 0.114, 'learning_rate': 1.9565681329147414e-05, 'epoch': 0.22}
{'loss': 0.1147, 'learning_rate': 1.9563476665843595e-05, 'epoch': 0.22}
{'loss': 0.1146, 'learning_rate': 1.9561272002539773e-05, 'epoch': 0.22}
{'loss': 0.1131, 'learning_rate': 1.9559067339235954e-05, 'epoch': 0.22}
{'loss': 0.114, 'learning_rate': 1.9556862675932134e-05, 'epoch': 0.22}
{'loss': 0.1157, 'learning_rate': 1.9554658012628312e-05, 'epoch': 0.22}
{'loss': 0.1187, 'learning_rate': 1.9552453349324493e-05, 'epoch': 0.22}
{'loss': 0.1165, 'learning_rate': 1.955024868602067e-05, 'epoch': 0.22}
{'loss': 0.1203, 'learning_rate': 1.954804402271685e-05, 'epoch': 0.23}
{'loss': 0.1138, 'learning_rate': 1.9545839359413032e-05, 'epoch': 0.23}
{'loss': 0.1189, 'learning_rate': 1.9543634696109213e-05, 'epoch': 0.23}
{'loss': 0.1151, 'learning_rate': 1.954143003280539e-05, 'epoch': 0.23}
{'loss': 0.1174, 'learning_rate': 1.953922536950157e-05, 'epoch': 0.23}
{'loss': 0.1173, 'learning_rate': 1.9537020706197752e-05, 'epoch': 0.23}
{'loss': 0.1171, 'learning_rate': 1.953481604289393e-05, 'epoch': 0.23}
{'loss': 0.1189, 'learning_rate': 1.953261137959011e-05, 'epoch': 0.23}
{'loss': 0.1145, 'learning_rate': 1.9530406716286288e-05, 'epoch': 0.23}
{'loss': 0.1125, 'learning_rate': 1.952820205298247e-05, 'epoch': 0.24}
{'loss': 0.115, 'learning_rate': 1.952599738967865e-05, 'epoch': 0.24}
{'loss': 0.1152, 'learning_rate': 1.952379272637483e-05, 'epoch': 0.24}
{'loss': 0.1151, 'learning_rate': 1.952158806307101e-05, 'epoch': 0.24}
{'loss': 0.11, 'learning_rate': 1.951938339976719e-05, 'epoch': 0.24}
{'loss': 0.1139, 'learning_rate': 1.951717873646337e-05, 'epoch': 0.24}
{'loss': 0.1099, 'learning_rate': 1.9514974073159548e-05, 'epoch': 0.24}
{'loss': 0.1096, 'learning_rate': 1.951276940985573e-05, 'epoch': 0.24}
{'loss': 0.1148, 'learning_rate': 1.9510564746551906e-05, 'epoch': 0.24}
{'loss': 0.1122, 'learning_rate': 1.9508360083248087e-05, 'epoch': 0.25}
{'loss': 0.1139, 'learning_rate': 1.9506155419944268e-05, 'epoch': 0.25}
{'loss': 0.1102, 'learning_rate': 1.950395075664045e-05, 'epoch': 0.25}
{'loss': 0.1116, 'learning_rate': 1.9501746093336626e-05, 'epoch': 0.25}
{'loss': 0.1159, 'learning_rate': 1.9499541430032807e-05, 'epoch': 0.25}
{'loss': 0.1119, 'learning_rate': 1.9497336766728988e-05, 'epoch': 0.25}
{'loss': 0.113, 'learning_rate': 1.9495132103425166e-05, 'epoch': 0.25}
{'loss': 0.1103, 'learning_rate': 1.9492927440121347e-05, 'epoch': 0.25}
{'loss': 0.1124, 'learning_rate': 1.9490722776817524e-05, 'epoch': 0.25}
{'loss': 0.1116, 'learning_rate': 1.9488518113513705e-05, 'epoch': 0.26}
{'loss': 0.1103, 'learning_rate': 1.9486313450209886e-05, 'epoch': 0.26}
{'loss': 0.1104, 'learning_rate': 1.9484108786906067e-05, 'epoch': 0.26}
{'loss': 0.107, 'learning_rate': 1.9481904123602244e-05, 'epoch': 0.26}
{'loss': 0.111, 'learning_rate': 1.9479699460298425e-05, 'epoch': 0.26}
{'loss': 0.1112, 'learning_rate': 1.9477494796994606e-05, 'epoch': 0.26}
{'loss': 0.1093, 'learning_rate': 1.9475290133690784e-05, 'epoch': 0.26}
{'loss': 0.1109, 'learning_rate': 1.9473085470386964e-05, 'epoch': 0.26}
{'loss': 0.1101, 'learning_rate': 1.9470880807083142e-05, 'epoch': 0.26}
{'loss': 0.1124, 'learning_rate': 1.9468676143779323e-05, 'epoch': 0.27}
{'loss': 0.111, 'learning_rate': 1.9466471480475504e-05, 'epoch': 0.27}
{'loss': 0.11, 'learning_rate': 1.9464266817171685e-05, 'epoch': 0.27}
{'loss': 0.1106, 'learning_rate': 1.9462062153867862e-05, 'epoch': 0.27}
{'loss': 0.1097, 'learning_rate': 1.9459857490564043e-05, 'epoch': 0.27}
{'loss': 0.1155, 'learning_rate': 1.9457652827260224e-05, 'epoch': 0.27}
{'loss': 0.1112, 'learning_rate': 1.94554481639564e-05, 'epoch': 0.27}
{'loss': 0.1121, 'learning_rate': 1.9453243500652582e-05, 'epoch': 0.27}
{'loss': 0.1094, 'learning_rate': 1.945103883734876e-05, 'epoch': 0.27}
{'loss': 0.1121, 'learning_rate': 1.944883417404494e-05, 'epoch': 0.28}
{'loss': 0.1092, 'learning_rate': 1.944662951074112e-05, 'epoch': 0.28}
{'loss': 0.1102, 'learning_rate': 1.9444424847437303e-05, 'epoch': 0.28}
{'loss': 0.1099, 'learning_rate': 1.944222018413348e-05, 'epoch': 0.28}
{'loss': 0.1067, 'learning_rate': 1.944001552082966e-05, 'epoch': 0.28}
{'loss': 0.1085, 'learning_rate': 1.9437810857525842e-05, 'epoch': 0.28}
{'loss': 0.1136, 'learning_rate': 1.943560619422202e-05, 'epoch': 0.28}
{'loss': 0.1134, 'learning_rate': 1.94334015309182e-05, 'epoch': 0.28}
{'loss': 0.1097, 'learning_rate': 1.9431196867614378e-05, 'epoch': 0.28}
{'loss': 0.1092, 'learning_rate': 1.942899220431056e-05, 'epoch': 0.29}
{'loss': 0.1114, 'learning_rate': 1.942678754100674e-05, 'epoch': 0.29}
{'loss': 0.1096, 'learning_rate': 1.9424582877702917e-05, 'epoch': 0.29}
{'loss': 0.1083, 'learning_rate': 1.9422378214399098e-05, 'epoch': 0.29}
{'loss': 0.1085, 'learning_rate': 1.942017355109528e-05, 'epoch': 0.29}
{'loss': 0.1086, 'learning_rate': 1.941796888779146e-05, 'epoch': 0.29}
{'loss': 0.1074, 'learning_rate': 1.9415764224487637e-05, 'epoch': 0.29}
{'loss': 0.107, 'learning_rate': 1.9413559561183818e-05, 'epoch': 0.29}
{'loss': 0.1071, 'learning_rate': 1.9411354897879996e-05, 'epoch': 0.29}
{'loss': 0.105, 'learning_rate': 1.9409150234576177e-05, 'epoch': 0.3}
{'loss': 0.1069, 'learning_rate': 1.9406945571272357e-05, 'epoch': 0.3}
{'loss': 0.1051, 'learning_rate': 1.9404740907968535e-05, 'epoch': 0.3}
{'loss': 0.1057, 'learning_rate': 1.9402536244664716e-05, 'epoch': 0.3}
{'loss': 0.105, 'learning_rate': 1.9400331581360897e-05, 'epoch': 0.3}
{'loss': 0.1083, 'learning_rate': 1.9398126918057078e-05, 'epoch': 0.3}
{'loss': 0.1047, 'learning_rate': 1.9395922254753255e-05, 'epoch': 0.3}
{'loss': 0.1082, 'learning_rate': 1.9393717591449436e-05, 'epoch': 0.3}
{'loss': 0.107, 'learning_rate': 1.9391512928145613e-05, 'epoch': 0.3}
{'loss': 0.1022, 'learning_rate': 1.9389308264841794e-05, 'epoch': 0.31}
{'loss': 0.1087, 'learning_rate': 1.9387103601537975e-05, 'epoch': 0.31}
{'loss': 0.1044, 'learning_rate': 1.9384898938234153e-05, 'epoch': 0.31}
{'loss': 0.1066, 'learning_rate': 1.9382694274930334e-05, 'epoch': 0.31}
{'loss': 0.1057, 'learning_rate': 1.9380489611626515e-05, 'epoch': 0.31}
{'loss': 0.1056, 'learning_rate': 1.9378284948322695e-05, 'epoch': 0.31}
{'loss': 0.1062, 'learning_rate': 1.9376080285018873e-05, 'epoch': 0.31}
{'loss': 0.1084, 'learning_rate': 1.9373875621715054e-05, 'epoch': 0.31}
{'loss': 0.1034, 'learning_rate': 1.937167095841123e-05, 'epoch': 0.31}
{'loss': 0.1036, 'learning_rate': 1.9369466295107412e-05, 'epoch': 0.32}
{'loss': 0.1034, 'learning_rate': 1.9367261631803593e-05, 'epoch': 0.32}
{'loss': 0.1036, 'learning_rate': 1.936505696849977e-05, 'epoch': 0.32}
{'loss': 0.1072, 'learning_rate': 1.936285230519595e-05, 'epoch': 0.32}
{'loss': 0.1022, 'learning_rate': 1.9360647641892132e-05, 'epoch': 0.32}
{'loss': 0.1052, 'learning_rate': 1.9358442978588313e-05, 'epoch': 0.32}
{'loss': 0.1035, 'learning_rate': 1.935623831528449e-05, 'epoch': 0.32}
{'loss': 0.1104, 'learning_rate': 1.9354033651980672e-05, 'epoch': 0.32}
{'loss': 0.1037, 'learning_rate': 1.935182898867685e-05, 'epoch': 0.32}
{'loss': 0.1072, 'learning_rate': 1.934962432537303e-05, 'epoch': 0.33}
{'loss': 0.1014, 'learning_rate': 1.934741966206921e-05, 'epoch': 0.33}
{'loss': 0.106, 'learning_rate': 1.934521499876539e-05, 'epoch': 0.33}
{'loss': 0.1086, 'learning_rate': 1.934301033546157e-05, 'epoch': 0.33}
